No,Tutupan Lahan,Curah Hujan,Kerapatan Sungai,Jarak dari Sungai,Ketinggian Lahan,Kemiringan Lereng,Jenis Tanah,Kelas Bahaya Banjir,Desa/Kelurahan,Luas Km²
324,Semak Belukar,2000 - 2500 mm/tahun,"<0,62 km/km²",100 - 250 m,100 - 200 m, 25 - 45 %,Regosol,Rendah,Caturtunggal,0.000002
325,Semak Belukar,2000 - 2500 mm/tahun,"<0,62 km/km²",100 - 250 m,100 - 200 m, 25 - 45 %,Regosol,Rendah,Maguwoharjo,0.002452
326,Bandar Udara,2000 - 2500 mm/tahun,"<0,62 km/km²",100 - 250 m,100 - 200 m, 25 - 45 %,Regosol,Sedang,Maguwoharjo,0.000186
327,Permukiman,2000 - 2500 mm/tahun,"<0,62 km/km²",100 - 250 m,100 - 200 m, 25 - 45 %,Regosol,Sedang,Caturtunggal,0.046859
328,Permukiman,2000 - 2500 mm/tahun,"<0,62 km/km²",100 - 250 m,100 - 200 m, 25 - 45 %,Regosol,Sedang,Maguwoharjo,0.017685
329,Permukiman,2000 - 2500 mm/tahun,"<0,62 km/km²",100 - 250 m,100 - 200 m, 25 - 45 %,Regosol,Sedang,Condongcatur,0.014198
330,Permukiman,2000 - 2500 mm/tahun,"<0,62 km/km²",>250m,>200m, 25 - 45 %,Regosol,Sedang,Condongcatur,0.000069
331,Perkebunan/Kebun,2000 - 2500 mm/tahun,"<0,62 km/km²",0 - 25 m,>200m, 25 - 45 %,Regosol,Sedang,Condongcatur,0.000157
332,Permukiman,2000 - 2500 mm/tahun,"<0,62 km/km²",0 - 25 m,>200m, 25 - 45 %,Regosol,Tinggi,Condongcatur,0.000961
333,Perkebunan/Kebun,2000 - 2500 mm/tahun,"<0,62 km/km²",25 - 100 m,>200m, 25 - 45 %,Regosol,Sedang,Condongcatur,0.000324
334,Permukiman,2000 - 2500 mm/tahun,"<0,62 km/km²",25 - 100 m,>200m, 25 - 45 %,Regosol,Sedang,Condongcatur,0.0017
335,Tegalan/Ladang,2000 - 2500 mm/tahun,"<0,62 km/km²",>250m,100 - 200 m,>45%,Regosol,Rendah,Caturtunggal,0.000107
336,Tegalan/Ladang,2000 - 2500 mm/tahun,"<0,62 km/km²",>250m,100 - 200 m,>45%,Regosol,Rendah,Condongcatur,0.000303
337,Sawah,2000 - 2500 mm/tahun,"<0,62 km/km²",>250m,100 - 200 m,>45%,Regosol,Sedang,Caturtunggal,0.000091
338,Semak Belukar,2000 - 2500 mm/tahun,"<0,62 km/km²",>250m,100 - 200 m,>45%,Regosol,Rendah,Maguwoharjo,0.00035
339,Semak Belukar,2000 - 2500 mm/tahun,"<0,62 km/km²",>250m,100 - 200 m,>45%,Regosol,Rendah,Condongcatur,0.000142
340,Bandar Udara,2000 - 2500 mm/tahun,"<0,62 km/km²",>250m,100 - 200 m,>45%,Regosol,Sedang,Maguwoharjo,0.00047
341,Permukiman,2000 - 2500 mm/tahun,"<0,62 km/km²",>250m,100 - 200 m,>45%,Regosol,Sedang,Caturtunggal,0.073857
342,Permukiman,2000 - 2500 mm/tahun,"<0,62 km/km²",>250m,100 - 200 m,>45%,Regosol,Sedang,Maguwoharjo,0.008001
343,Permukiman,2000 - 2500 mm/tahun,"<0,62 km/km²",>250m,100 - 200 m,>45%,Regosol,Sedang,Condongcatur,0.0123
344,Permukiman,2000 - 2500 mm/tahun,"<0,62 km/km²",0 - 25 m,100 - 200 m,>45%,Regosol,Tinggi,Caturtunggal,0.000951
345,Permukiman,2000 - 2500 mm/tahun,"<0,62 km/km²",25 - 100 m,100 - 200 m,>45%,Regosol,Sedang,Caturtunggal,0.003674
346,Permukiman,2000 - 2500 mm/tahun,"<0,62 km/km²",25 - 100 m,100 - 200 m,>45%,Regosol,Sedang,Condongcatur,0.000004
347,Perkebunan/Kebun,2000 - 2500 mm/tahun,"<0,62 km/km²",100 - 250 m,100 - 200 m,>45%,Regosol,Sedang,Maguwoharjo,0.001204
348,Sawah,2000 - 2500 mm/tahun,"<0,62 km/km²",100 - 250 m,100 - 200 m,>45%,Regosol,Sedang,Condongcatur,0.000038
349,Semak Belukar,2000 - 2500 mm/tahun,"<0,62 km/km²",100 - 250 m,100 - 200 m,>45%,Regosol,Rendah,Maguwoharjo,0.000332
350,Permukiman,2000 - 2500 mm/tahun,"<0,62 km/km²",100 - 250 m,100 - 200 m,>45%,Regosol,Sedang,Caturtunggal,0.008853
351,Permukiman,2000 - 2500 mm/tahun,"<0,62 km/km²",100 - 250 m,100 - 200 m,>45%,Regosol,Sedang,Maguwoharjo,0.001835
352,Permukiman,2000 - 2500 mm/tahun,"<0,62 km/km²",100 - 250 m,100 - 200 m,>45%,Regosol,Sedang,Condongcatur,0.00004
353,Permukiman,2000 - 2500 mm/tahun,"<0,62 km/km²",0 - 25 m,>200m,>45%,Regosol,Tinggi,Condongcatur,0.000052
354,Tegalan/Ladang,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",>250m,100 - 200 m,0 - 8 %,Regosol,Sedang,Caturtunggal,0.000076
355,Tegalan/Ladang,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",>250m,100 - 200 m,0 - 8 %,Regosol,Sedang,Maguwoharjo,0.000458
356,Sawah,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",>250m,100 - 200 m,0 - 8 %,Regosol,Sedang,Caturtunggal,0.000157
357,Sawah,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",>250m,100 - 200 m,0 - 8 %,Regosol,Sedang,Maguwoharjo,0.000455
358,Sawah,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",>250m,100 - 200 m,0 - 8 %,Regosol,Sedang,Condongcatur,0.000278
359,Semak Belukar,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",>250m,100 - 200 m,0 - 8 %,Regosol,Sedang,Maguwoharjo,0.000039
360,Permukiman,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",>250m,100 - 200 m,0 - 8 %,Regosol,Tinggi,Caturtunggal,0.00173
361,Permukiman,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",>250m,100 - 200 m,0 - 8 %,Regosol,Tinggi,Maguwoharjo,0.00177
362,Permukiman,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",>250m,100 - 200 m,0 - 8 %,Regosol,Tinggi,Condongcatur,0.00282
363,Tegalan/Ladang,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",0 - 25 m,100 - 200 m,0 - 8 %,Regosol,Tinggi,Maguwoharjo,0.000367
364,Perkebunan/Kebun,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",0 - 25 m,100 - 200 m,0 - 8 %,Regosol,Tinggi,Maguwoharjo,0.003691
365,Sawah,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",0 - 25 m,100 - 200 m,0 - 8 %,Regosol,Tinggi,Caturtunggal,0.002416
366,Sawah,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",0 - 25 m,100 - 200 m,0 - 8 %,Regosol,Tinggi,Maguwoharjo,0.000341
367,Sawah,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",0 - 25 m,100 - 200 m,0 - 8 %,Regosol,Tinggi,Condongcatur,0.000709
368,Semak Belukar,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",0 - 25 m,100 - 200 m,0 - 8 %,Regosol,Sedang,Maguwoharjo,0.000036
369,Permukiman,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",0 - 25 m,100 - 200 m,0 - 8 %,Regosol,Tinggi,Caturtunggal,0.005057
370,Permukiman,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",0 - 25 m,100 - 200 m,0 - 8 %,Regosol,Tinggi,Maguwoharjo,0.002946
371,Permukiman,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",0 - 25 m,100 - 200 m,0 - 8 %,Regosol,Tinggi,Condongcatur,0.002697
372,Tegalan/Ladang,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",25 - 100 m,100 - 200 m,0 - 8 %,Regosol,Sedang,Caturtunggal,0.0001
373,Tegalan/Ladang,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",25 - 100 m,100 - 200 m,0 - 8 %,Regosol,Sedang,Maguwoharjo,0.005742
374,Tegalan/Ladang,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",25 - 100 m,100 - 200 m,0 - 8 %,Regosol,Sedang,Condongcatur,0.002503
375,Perkebunan/Kebun,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",25 - 100 m,100 - 200 m,0 - 8 %,Regosol,Sedang,Maguwoharjo,0.004909
376,Sawah,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",25 - 100 m,100 - 200 m,0 - 8 %,Regosol,Tinggi,Caturtunggal,0.005564
377,Sawah,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",25 - 100 m,100 - 200 m,0 - 8 %,Regosol,Tinggi,Maguwoharjo,0.004599
378,Sawah,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",25 - 100 m,100 - 200 m,0 - 8 %,Regosol,Tinggi,Condongcatur,0.00499
379,Semak Belukar,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",25 - 100 m,100 - 200 m,0 - 8 %,Regosol,Sedang,Maguwoharjo,0.002671
380,Permukiman,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",25 - 100 m,100 - 200 m,0 - 8 %,Regosol,Tinggi,Caturtunggal,0.034523
381,Permukiman,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",25 - 100 m,100 - 200 m,0 - 8 %,Regosol,Tinggi,Maguwoharjo,0.021884
382,Permukiman,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",25 - 100 m,100 - 200 m,0 - 8 %,Regosol,Tinggi,Condongcatur,0.027142
383,Danau/Waduk/Embung,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",25 - 100 m,100 - 200 m,0 - 8 %,Regosol,Sedang,Caturtunggal,0.000138
384,Tegalan/Ladang,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",100 - 250 m,100 - 200 m,0 - 8 %,Regosol,Sedang,Caturtunggal,0.005172
385,Tegalan/Ladang,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",100 - 250 m,100 - 200 m,0 - 8 %,Regosol,Sedang,Maguwoharjo,0.038794
386,Tegalan/Ladang,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",100 - 250 m,100 - 200 m,0 - 8 %,Regosol,Sedang,Condongcatur,0.002405
387,Perkebunan/Kebun,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",100 - 250 m,100 - 200 m,0 - 8 %,Regosol,Sedang,Maguwoharjo,0.00771
388,Sawah,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",100 - 250 m,100 - 200 m,0 - 8 %,Regosol,Sedang,Caturtunggal,0.01199
389,Sawah,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",100 - 250 m,100 - 200 m,0 - 8 %,Regosol,Sedang,Maguwoharjo,0.044297
390,Sawah,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",100 - 250 m,100 - 200 m,0 - 8 %,Regosol,Sedang,Condongcatur,0.016738
391,Semak Belukar,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",100 - 250 m,100 - 200 m,0 - 8 %,Regosol,Sedang,Caturtunggal,0.000005
392,Semak Belukar,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",100 - 250 m,100 - 200 m,0 - 8 %,Regosol,Sedang,Maguwoharjo,0.014921
393,Semak Belukar,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",100 - 250 m,100 - 200 m,0 - 8 %,Regosol,Sedang,Condongcatur,0.002945
394,Permukiman,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",100 - 250 m,100 - 200 m,0 - 8 %,Regosol,Tinggi,Caturtunggal,0.228227
395,Permukiman,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",100 - 250 m,100 - 200 m,0 - 8 %,Regosol,Tinggi,Maguwoharjo,0.234333
396,Permukiman,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",100 - 250 m,100 - 200 m,0 - 8 %,Regosol,Tinggi,Condongcatur,0.199775
397,Permukiman,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",0 - 25 m,>200m,0 - 8 %,Regosol,Tinggi,Condongcatur,0.000194
398,Permukiman,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",25 - 100 m,>200m,0 - 8 %,Regosol,Tinggi,Condongcatur,0.000458
399,Permukiman,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",100 - 250 m,>200m,0 - 8 %,Regosol,Tinggi,Condongcatur,0.000514
400,Perkebunan/Kebun,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",0 - 25 m,50 - 100 m,8 - 15 %,Regosol,Sedang,Maguwoharjo,0.000013
401,Tegalan/Ladang,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",>250m,100 - 200 m,8 - 15 %,Regosol,Sedang,Caturtunggal,0.000079
402,Tegalan/Ladang,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",>250m,100 - 200 m,8 - 15 %,Regosol,Sedang,Maguwoharjo,0.000209
403,Perkebunan/Kebun,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",>250m,100 - 200 m,8 - 15 %,Regosol,Sedang,Maguwoharjo,0.000016
404,Sawah,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",>250m,100 - 200 m,8 - 15 %,Regosol,Sedang,Caturtunggal,0.00005
405,Sawah,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",>250m,100 - 200 m,8 - 15 %,Regosol,Sedang,Maguwoharjo,0.000517
406,Sawah,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",>250m,100 - 200 m,8 - 15 %,Regosol,Sedang,Condongcatur,0.000254
407,Permukiman,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",>250m,100 - 200 m,8 - 15 %,Regosol,Sedang,Caturtunggal,0.002641
408,Permukiman,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",>250m,100 - 200 m,8 - 15 %,Regosol,Sedang,Maguwoharjo,0.00267
409,Permukiman,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",>250m,100 - 200 m,8 - 15 %,Regosol,Sedang,Condongcatur,0.002085
410,Tegalan/Ladang,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",0 - 25 m,100 - 200 m,8 - 15 %,Regosol,Sedang,Maguwoharjo,0.001272
411,Tegalan/Ladang,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",0 - 25 m,100 - 200 m,8 - 15 %,Regosol,Sedang,Condongcatur,0.000004
412,Perkebunan/Kebun,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",0 - 25 m,100 - 200 m,8 - 15 %,Regosol,Sedang,Maguwoharjo,0.004269
413,Sawah,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",0 - 25 m,100 - 200 m,8 - 15 %,Regosol,Tinggi,Caturtunggal,0.00238
414,Sawah,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",0 - 25 m,100 - 200 m,8 - 15 %,Regosol,Tinggi,Maguwoharjo,0.000695
415,Sawah,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",0 - 25 m,100 - 200 m,8 - 15 %,Regosol,Tinggi,Condongcatur,0.000514
416,Permukiman,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",0 - 25 m,100 - 200 m,8 - 15 %,Regosol,Tinggi,Caturtunggal,0.006259
417,Permukiman,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",0 - 25 m,100 - 200 m,8 - 15 %,Regosol,Tinggi,Maguwoharjo,0.001587
418,Permukiman,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",0 - 25 m,100 - 200 m,8 - 15 %,Regosol,Tinggi,Condongcatur,0.003983
419,Tegalan/Ladang,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",25 - 100 m,100 - 200 m,8 - 15 %,Regosol,Sedang,Caturtunggal,0.00053
420,Tegalan/Ladang,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",25 - 100 m,100 - 200 m,8 - 15 %,Regosol,Sedang,Maguwoharjo,0.011385
421,Tegalan/Ladang,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",25 - 100 m,100 - 200 m,8 - 15 %,Regosol,Sedang,Condongcatur,0.006333
422,Perkebunan/Kebun,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",25 - 100 m,100 - 200 m,8 - 15 %,Regosol,Sedang,Maguwoharjo,0.007164
423,Sawah,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",25 - 100 m,100 - 200 m,8 - 15 %,Regosol,Sedang,Caturtunggal,0.009154
424,Sawah,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",25 - 100 m,100 - 200 m,8 - 15 %,Regosol,Sedang,Maguwoharjo,0.003305
425,Sawah,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",25 - 100 m,100 - 200 m,8 - 15 %,Regosol,Sedang,Condongcatur,0.002957
426,Semak Belukar,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",25 - 100 m,100 - 200 m,8 - 15 %,Regosol,Sedang,Maguwoharjo,0.002826
427,Permukiman,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",25 - 100 m,100 - 200 m,8 - 15 %,Regosol,Tinggi,Caturtunggal,0.039971
428,Permukiman,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",25 - 100 m,100 - 200 m,8 - 15 %,Regosol,Tinggi,Maguwoharjo,0.030671
429,Permukiman,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",25 - 100 m,100 - 200 m,8 - 15 %,Regosol,Tinggi,Condongcatur,0.029152
430,Danau/Waduk/Embung,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",25 - 100 m,100 - 200 m,8 - 15 %,Regosol,Rendah,Caturtunggal,0.00064
431,Tegalan/Ladang,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",100 - 250 m,100 - 200 m,8 - 15 %,Regosol,Sedang,Caturtunggal,0.005548
432,Tegalan/Ladang,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",100 - 250 m,100 - 200 m,8 - 15 %,Regosol,Sedang,Maguwoharjo,0.034955
433,Tegalan/Ladang,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",100 - 250 m,100 - 200 m,8 - 15 %,Regosol,Sedang,Condongcatur,0.004067
434,Perkebunan/Kebun,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",100 - 250 m,100 - 200 m,8 - 15 %,Regosol,Sedang,Caturtunggal,0.000001
435,Perkebunan/Kebun,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",100 - 250 m,100 - 200 m,8 - 15 %,Regosol,Sedang,Maguwoharjo,0.010878
436,Sawah,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",100 - 250 m,100 - 200 m,8 - 15 %,Regosol,Sedang,Caturtunggal,0.018878
437,Sawah,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",100 - 250 m,100 - 200 m,8 - 15 %,Regosol,Sedang,Maguwoharjo,0.062729
438,Sawah,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",100 - 250 m,100 - 200 m,8 - 15 %,Regosol,Sedang,Condongcatur,0.024837
439,Semak Belukar,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",100 - 250 m,100 - 200 m,8 - 15 %,Regosol,Sedang,Caturtunggal,0.000083
440,Semak Belukar,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",100 - 250 m,100 - 200 m,8 - 15 %,Regosol,Sedang,Maguwoharjo,0.011995
441,Semak Belukar,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",100 - 250 m,100 - 200 m,8 - 15 %,Regosol,Sedang,Condongcatur,0.002035
442,Permukiman,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",100 - 250 m,100 - 200 m,8 - 15 %,Regosol,Tinggi,Caturtunggal,0.2985
443,Permukiman,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",100 - 250 m,100 - 200 m,8 - 15 %,Regosol,Tinggi,Maguwoharjo,0.301346
444,Permukiman,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",100 - 250 m,100 - 200 m,8 - 15 %,Regosol,Tinggi,Condongcatur,0.252364
445,Permukiman,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",0 - 25 m,>200m,8 - 15 %,Regosol,Tinggi,Condongcatur,0.000509
446,Permukiman,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",25 - 100 m,>200m,8 - 15 %,Regosol,Tinggi,Condongcatur,0.001902
447,Permukiman,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",100 - 250 m,>200m,8 - 15 %,Regosol,Sedang,Condongcatur,0.002009
448,Perkebunan/Kebun,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",0 - 25 m,50 - 100 m,15 - 25 %,Regosol,Sedang,Maguwoharjo,0.000109
449,Sawah,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",0 - 25 m,50 - 100 m,15 - 25 %,Regosol,Tinggi,Maguwoharjo,0.00007
450,Tegalan/Ladang,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",>250m,100 - 200 m,15 - 25 %,Regosol,Sedang,Caturtunggal,0.000059
451,Tegalan/Ladang,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",>250m,100 - 200 m,15 - 25 %,Regosol,Sedang,Maguwoharjo,0.000119
452,Perkebunan/Kebun,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",>250m,100 - 200 m,15 - 25 %,Regosol,Sedang,Maguwoharjo,0.00005
453,Sawah,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",>250m,100 - 200 m,15 - 25 %,Regosol,Sedang,Caturtunggal,0.000002
454,Sawah,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",>250m,100 - 200 m,15 - 25 %,Regosol,Sedang,Maguwoharjo,0.000143
455,Sawah,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",>250m,100 - 200 m,15 - 25 %,Regosol,Sedang,Condongcatur,0.000057
456,Permukiman,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",>250m,100 - 200 m,15 - 25 %,Regosol,Sedang,Caturtunggal,0.001385
457,Permukiman,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",>250m,100 - 200 m,15 - 25 %,Regosol,Sedang,Maguwoharjo,0.001251
458,Permukiman,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",>250m,100 - 200 m,15 - 25 %,Regosol,Sedang,Condongcatur,0.001562
459,Tegalan/Ladang,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",0 - 25 m,100 - 200 m,15 - 25 %,Regosol,Sedang,Maguwoharjo,0.001095
460,Tegalan/Ladang,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",0 - 25 m,100 - 200 m,15 - 25 %,Regosol,Sedang,Condongcatur,0.000106
461,Perkebunan/Kebun,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",0 - 25 m,100 - 200 m,15 - 25 %,Regosol,Sedang,Maguwoharjo,0.003732
462,Sawah,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",0 - 25 m,100 - 200 m,15 - 25 %,Regosol,Tinggi,Caturtunggal,0.000822
463,Sawah,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",0 - 25 m,100 - 200 m,15 - 25 %,Regosol,Tinggi,Maguwoharjo,0.002128
464,Permukiman,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",0 - 25 m,100 - 200 m,15 - 25 %,Regosol,Tinggi,Caturtunggal,0.005029
465,Permukiman,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",0 - 25 m,100 - 200 m,15 - 25 %,Regosol,Tinggi,Maguwoharjo,0.001076
466,Permukiman,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",0 - 25 m,100 - 200 m,15 - 25 %,Regosol,Tinggi,Condongcatur,0.003498
467,Danau/Waduk/Embung,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",0 - 25 m,100 - 200 m,15 - 25 %,Regosol,Rendah,Caturtunggal,0.00002
468,Tegalan/Ladang,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",25 - 100 m,100 - 200 m,15 - 25 %,Regosol,Sedang,Caturtunggal,0.000257
469,Tegalan/Ladang,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",25 - 100 m,100 - 200 m,15 - 25 %,Regosol,Sedang,Maguwoharjo,0.00827
470,Tegalan/Ladang,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",25 - 100 m,100 - 200 m,15 - 25 %,Regosol,Sedang,Condongcatur,0.003961
471,Perkebunan/Kebun,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",25 - 100 m,100 - 200 m,15 - 25 %,Regosol,Sedang,Maguwoharjo,0.007407
472,Sawah,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",25 - 100 m,100 - 200 m,15 - 25 %,Regosol,Sedang,Caturtunggal,0.008199
473,Sawah,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",25 - 100 m,100 - 200 m,15 - 25 %,Regosol,Sedang,Maguwoharjo,0.004533
474,Sawah,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",25 - 100 m,100 - 200 m,15 - 25 %,Regosol,Sedang,Condongcatur,0.002933
475,Semak Belukar,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",25 - 100 m,100 - 200 m,15 - 25 %,Regosol,Sedang,Maguwoharjo,0.003924
476,Permukiman,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",25 - 100 m,100 - 200 m,15 - 25 %,Regosol,Tinggi,Caturtunggal,0.028945
477,Permukiman,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",25 - 100 m,100 - 200 m,15 - 25 %,Regosol,Tinggi,Maguwoharjo,0.013698
478,Permukiman,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",25 - 100 m,100 - 200 m,15 - 25 %,Regosol,Tinggi,Condongcatur,0.020313
479,Danau/Waduk/Embung,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",25 - 100 m,100 - 200 m,15 - 25 %,Regosol,Rendah,Caturtunggal,0.000951
480,Tegalan/Ladang,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",100 - 250 m,100 - 200 m,15 - 25 %,Regosol,Sedang,Caturtunggal,0.003964
481,Tegalan/Ladang,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",100 - 250 m,100 - 200 m,15 - 25 %,Regosol,Sedang,Maguwoharjo,0.011027
482,Tegalan/Ladang,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",100 - 250 m,100 - 200 m,15 - 25 %,Regosol,Sedang,Condongcatur,0.005477
483,Perkebunan/Kebun,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",100 - 250 m,100 - 200 m,15 - 25 %,Regosol,Sedang,Caturtunggal,0.000179
484,Perkebunan/Kebun,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",100 - 250 m,100 - 200 m,15 - 25 %,Regosol,Sedang,Maguwoharjo,0.015231
485,Sawah,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",100 - 250 m,100 - 200 m,15 - 25 %,Regosol,Sedang,Caturtunggal,0.015402
