No,Tutupan Lahan,Curah Hujan,Kerapatan Sungai,Jarak dari Sungai,Ketinggian Lahan,Kemiringan Lereng,Jenis Tanah,Kelas Bahaya Banjir,Desa/Kelurahan,Luas Km²
80,Permukiman,2500 - 3000 mm/tahun,"1,44 - 2,27 km/km²",25 - 100 m,100 - 200 m, 25 - 45 %,Regosol,Tinggi,Condongcatur,0.00101
81,Tegalan/Ladang,2500 - 3000 mm/tahun,"2,27 - 3,10 km/km²",0 - 25 m,100 - 200 m,0 - 8 %,Regosol,Tinggi,Condongcatur,0.000857
82,Perkebunan/Kebun,2500 - 3000 mm/tahun,"2,27 - 3,10 km/km²",0 - 25 m,100 - 200 m,0 - 8 %,Regosol,Tinggi,Condongcatur,0.001104
83,Sawah,2500 - 3000 mm/tahun,"2,27 - 3,10 km/km²",0 - 25 m,100 - 200 m,0 - 8 %,Regosol,Tinggi,Condongcatur,0.001427
84,Permukiman,2500 - 3000 mm/tahun,"2,27 - 3,10 km/km²",0 - 25 m,100 - 200 m,0 - 8 %,Regosol,Tinggi,Condongcatur,0.003388
85,Tegalan/Ladang,2500 - 3000 mm/tahun,"2,27 - 3,10 km/km²",25 - 100 m,100 - 200 m,0 - 8 %,Regosol,Sedang,Condongcatur,0.000094
86,Perkebunan/Kebun,2500 - 3000 mm/tahun,"2,27 - 3,10 km/km²",25 - 100 m,100 - 200 m,0 - 8 %,Regosol,Sedang,Condongcatur,0.000403
87,Sawah,2500 - 3000 mm/tahun,"2,27 - 3,10 km/km²",25 - 100 m,100 - 200 m,0 - 8 %,Regosol,Tinggi,Condongcatur,0.004952
88,Permukiman,2500 - 3000 mm/tahun,"2,27 - 3,10 km/km²",25 - 100 m,100 - 200 m,0 - 8 %,Regosol,Tinggi,Condongcatur,0.015272
89,Tegalan/Ladang,2500 - 3000 mm/tahun,"2,27 - 3,10 km/km²",100 - 250 m,100 - 200 m,0 - 8 %,Regosol,Sedang,Condongcatur,0.000027
90,Sawah,2500 - 3000 mm/tahun,"2,27 - 3,10 km/km²",100 - 250 m,100 - 200 m,0 - 8 %,Regosol,Tinggi,Condongcatur,0.003637
91,Permukiman,2500 - 3000 mm/tahun,"2,27 - 3,10 km/km²",100 - 250 m,100 - 200 m,0 - 8 %,Regosol,Tinggi,Condongcatur,0.006584
92,Tegalan/Ladang,2500 - 3000 mm/tahun,"2,27 - 3,10 km/km²",0 - 25 m,100 - 200 m,8 - 15 %,Regosol,Tinggi,Condongcatur,0.001773
93,Perkebunan/Kebun,2500 - 3000 mm/tahun,"2,27 - 3,10 km/km²",0 - 25 m,100 - 200 m,8 - 15 %,Regosol,Tinggi,Condongcatur,0.003737
94,Permukiman,2500 - 3000 mm/tahun,"2,27 - 3,10 km/km²",0 - 25 m,100 - 200 m,8 - 15 %,Regosol,Tinggi,Condongcatur,0.00208
95,Tegalan/Ladang,2500 - 3000 mm/tahun,"2,27 - 3,10 km/km²",25 - 100 m,100 - 200 m,8 - 15 %,Regosol,Sedang,Condongcatur,0.000423
96,Perkebunan/Kebun,2500 - 3000 mm/tahun,"2,27 - 3,10 km/km²",25 - 100 m,100 - 200 m,8 - 15 %,Regosol,Sedang,Condongcatur,0.001481
97,Sawah,2500 - 3000 mm/tahun,"2,27 - 3,10 km/km²",25 - 100 m,100 - 200 m,8 - 15 %,Regosol,Tinggi,Condongcatur,0.003636
98,Permukiman,2500 - 3000 mm/tahun,"2,27 - 3,10 km/km²",25 - 100 m,100 - 200 m,8 - 15 %,Regosol,Tinggi,Condongcatur,0.017016
99,Tegalan/Ladang,2500 - 3000 mm/tahun,"2,27 - 3,10 km/km²",100 - 250 m,100 - 200 m,8 - 15 %,Regosol,Sedang,Condongcatur,0.000097
100,Sawah,2500 - 3000 mm/tahun,"2,27 - 3,10 km/km²",100 - 250 m,100 - 200 m,8 - 15 %,Regosol,Sedang,Condongcatur,0.002774
101,Permukiman,2500 - 3000 mm/tahun,"2,27 - 3,10 km/km²",100 - 250 m,100 - 200 m,8 - 15 %,Regosol,Tinggi,Condongcatur,0.006771
102,Tegalan/Ladang,2500 - 3000 mm/tahun,"2,27 - 3,10 km/km²",0 - 25 m,100 - 200 m,15 - 25 %,Regosol,Sedang,Condongcatur,0.00092
103,Perkebunan/Kebun,2500 - 3000 mm/tahun,"2,27 - 3,10 km/km²",0 - 25 m,100 - 200 m,15 - 25 %,Regosol,Sedang,Condongcatur,0.000994
